datetime,city,temperature,wind_speed,humidity,cloud_cover,pressure,cooling_degree,low_wind_flag
2023-02-23 00:00:00,Ahmedabad,20.32,3.08,42.52,90.28,100.72,0.0,0
2023-02-23 01:00:00,Ahmedabad,19.41,3.05,51.82,76.51,100.71,0.0,0
2023-02-23 02:00:00,Ahmedabad,18.56,3.07,62.22,75.88,100.7,0.0,0
2023-02-23 03:00:00,Ahmedabad,17.69,3.07,72.44,78.98,100.7,0.0,0
2023-02-23 04:00:00,Ahmedabad,16.89,2.98,81.04,82.39,100.72,0.0,0
2023-02-23 05:00:00,Ahmedabad,16.16,2.8,87.73,84.22,100.78,0.0,0
2023-02-23 06:00:00,Ahmedabad,15.85,2.76,91.24,69.3,100.86,0.0,0
2023-02-23 07:00:00,Ahmedabad,18.24,3.79,79.7,51.87,100.94,0.0,0
2023-02-23 08:00:00,Ahmedabad,21.94,3.78,65.74,38.73,101.0,0.0,0
2023-02-23 09:00:00,Ahmedabad,25.88,3.17,47.71,24.16,101.02,0.879999999999999,0
2023-02-23 10:00:00,Ahmedabad,29.99,1.54,29.89,4.21,100.99,4.989999999999998,1
2023-02-23 11:00:00,Ahmedabad,33.14,1.32,19.52,2.8,100.88,8.14,1
2023-02-23 12:00:00,Ahmedabad,34.75,1.95,15.65,1.4,100.74,9.75,1
2023-02-23 13:00:00,Ahmedabad,35.64,2.34,13.58,0.0,100.61,10.64,0
2023-02-23 14:00:00,Ahmedabad,35.81,2.54,12.32,0.32,100.53,10.810000000000002,0
2023-02-23 15:00:00,Ahmedabad,35.41,2.62,11.59,0.63,100.49,10.409999999999997,0
2023-02-23 16:00:00,Ahmedabad,34.28,2.56,11.56,0.95,100.5,9.280000000000001,0
2023-02-23 17:00:00,Ahmedabad,30.57,1.85,14.33,1.27,100.54,5.57,1
2023-02-23 18:00:00,Ahmedabad,28.42,1.77,15.53,1.58,100.6,3.4200000000000017,1
2023-02-23 19:00:00,Ahmedabad,27.41,1.62,16.26,1.9,100.68,2.41,1
2023-02-23 20:00:00,Ahmedabad,26.39,1.67,17.28,2.22,100.74,1.3900000000000006,1
2023-02-23 21:00:00,Ahmedabad,25.43,1.89,18.49,2.53,100.76,0.4299999999999997,1
2023-02-23 22:00:00,Ahmedabad,24.09,2.12,20.3,2.85,100.75,0.0,0
2023-02-23 23:00:00,Ahmedabad,22.66,2.36,22.47,3.17,100.73,0.0,0
2023-02-24 00:00:00,Ahmedabad,21.3,2.55,24.85,16.44,100.7,0.0,0
2023-02-24 01:00:00,Ahmedabad,20.02,2.68,27.51,34.47,100.69,0.0,0
2023-02-24 02:00:00,Ahmedabad,18.98,2.73,30.15,11.24,100.69,0.0,0
2023-02-24 03:00:00,Ahmedabad,18.12,2.74,32.83,6.04,100.7,0.0,0
2023-02-24 04:00:00,Ahmedabad,17.33,2.72,35.99,3.17,100.74,0.0,0
2023-02-24 05:00:00,Ahmedabad,16.58,2.65,39.65,0.45,100.82,0.0,0
2023-02-24 06:00:00,Ahmedabad,16.19,2.46,42.7,4.58,100.91,0.0,0
2023-02-24 07:00:00,Ahmedabad,19.42,2.54,36.65,8.66,101.0,0.0,0
2023-02-24 08:00:00,Ahmedabad,22.86,1.78,30.91,12.65,101.06,0.0,1
2023-02-24 09:00:00,Ahmedabad,27.84,2.3,22.52,17.72,101.09,2.84,0
2023-02-24 10:00:00,Ahmedabad,31.97,2.98,15.35,27.2,101.07,6.969999999999999,0
2023-02-24 11:00:00,Ahmedabad,33.94,3.46,12.64,36.46,101.01,8.939999999999998,0
2023-02-24 12:00:00,Ahmedabad,35.2,3.63,11.06,21.03,100.91,10.200000000000003,0
2023-02-24 13:00:00,Ahmedabad,35.92,3.62,10.02,3.62,100.81,10.920000000000002,0
2023-02-24 14:00:00,Ahmedabad,36.14,3.46,9.38,3.33,100.74,11.14,0
2023-02-24 15:00:00,Ahmedabad,35.75,3.23,9.17,3.04,100.7,10.75,0
2023-02-24 16:00:00,Ahmedabad,34.57,2.88,9.47,2.76,100.69,9.57,0
2023-02-24 17:00:00,Ahmedabad,30.42,1.95,12.56,2.47,100.72,5.420000000000002,1
2023-02-24 18:00:00,Ahmedabad,27.9,2.16,14.23,2.18,100.77,2.8999999999999986,0
2023-02-24 19:00:00,Ahmedabad,26.59,2.3,15.61,1.89,100.84,1.5899999999999999,0
2023-02-24 20:00:00,Ahmedabad,25.36,2.42,17.25,1.6,100.9,0.35999999999999943,0
2023-02-24 21:00:00,Ahmedabad,24.34,2.45,19.02,1.32,100.94,0.0,0
2023-02-24 22:00:00,Ahmedabad,23.55,2.36,20.67,1.03,100.94,0.0,0
2023-02-24 23:00:00,Ahmedabad,22.93,2.18,22.27,0.74,100.93,0.0,0
2023-02-25 00:00:00,Ahmedabad,22.3,1.97,23.91,0.45,100.92,0.0,1
2023-02-25 01:00:00,Ahmedabad,21.33,1.89,26.26,0.25,100.9,0.0,1
2023-02-25 02:00:00,Ahmedabad,19.9,2.1,29.72,1.36,100.9,0.0,0
2023-02-25 03:00:00,Ahmedabad,18.22,2.37,34.31,2.26,100.91,0.0,0
2023-02-25 04:00:00,Ahmedabad,16.9,2.43,39.49,6.32,100.96,0.0,0
2023-02-25 05:00:00,Ahmedabad,16.07,2.25,44.23,4.07,101.03,0.0,0
2023-02-25 06:00:00,Ahmedabad,15.74,1.84,47.83,7.64,101.12,0.0,1
2023-02-25 07:00:00,Ahmedabad,18.47,1.5,42.01,9.67,101.2,0.0,1
2023-02-25 08:00:00,Ahmedabad,21.8,0.79,34.4,16.49,101.26,0.0,1
2023-02-25 09:00:00,Ahmedabad,26.35,0.57,24.53,20.38,101.28,1.3500000000000014,1
2023-02-25 10:00:00,Ahmedabad,31.15,0.76,14.32,8.52,101.25,6.149999999999999,1
2023-02-25 11:00:00,Ahmedabad,34.33,2.17,9.25,17.7,101.15,9.329999999999998,0
2023-02-25 12:00:00,Ahmedabad,35.61,2.94,8.05,30.02,101.01,10.61,0
2023-02-25 13:00:00,Ahmedabad,36.16,3.41,7.64,37.46,100.89,11.159999999999997,0
2023-02-25 14:00:00,Ahmedabad,36.2,3.45,7.51,14.7,100.79,11.200000000000003,0
2023-02-25 15:00:00,Ahmedabad,35.67,3.26,7.75,24.82,100.74,10.670000000000002,0
2023-02-25 16:00:00,Ahmedabad,34.47,2.93,8.43,18.21,100.76,9.469999999999999,0
2023-02-25 17:00:00,Ahmedabad,30.48,1.89,11.49,8.04,100.8,5.48,1
2023-02-25 18:00:00,Ahmedabad,28.09,1.96,13.11,3.17,100.87,3.09,1
2023-02-25 19:00:00,Ahmedabad,26.71,2.15,14.32,2.62,100.96,1.7100000000000009,0
2023-02-25 20:00:00,Ahmedabad,25.11,2.47,15.95,2.08,101.03,0.10999999999999943,0
2023-02-25 21:00:00,Ahmedabad,23.62,2.71,17.67,1.54,101.06,0.0,0
2023-02-25 22:00:00,Ahmedabad,22.37,2.88,19.3,1.0,101.06,0.0,0
2023-02-25 23:00:00,Ahmedabad,21.3,2.97,20.66,0.45,101.04,0.0,0
2023-02-26 00:00:00,Ahmedabad,20.29,3.07,21.92,0.83,101.03,0.0,0
2023-02-26 01:00:00,Ahmedabad,19.36,3.17,22.85,1.21,101.01,0.0,0
2023-02-26 02:00:00,Ahmedabad,18.54,3.18,23.44,2.46,100.99,0.0,0
2023-02-26 03:00:00,Ahmedabad,17.82,3.1,23.97,3.72,100.97,0.0,0
2023-02-26 04:00:00,Ahmedabad,17.17,2.95,24.57,4.98,100.99,0.0,0
2023-02-26 05:00:00,Ahmedabad,16.62,2.74,25.28,6.74,101.04,0.0,0
2023-02-26 06:00:00,Ahmedabad,16.48,2.45,25.44,5.92,101.12,0.0,0
2023-02-26 07:00:00,Ahmedabad,20.2,2.21,20.23,4.85,101.21,0.0,0
2023-02-26 08:00:00,Ahmedabad,23.71,1.54,16.51,3.88,101.29,0.0,1
2023-02-26 09:00:00,Ahmedabad,28.95,2.02,12.33,2.91,101.34,3.9499999999999993,0
2023-02-26 10:00:00,Ahmedabad,32.86,1.9,9.86,1.94,101.32,7.859999999999999,1
2023-02-26 11:00:00,Ahmedabad,34.72,1.44,8.53,0.97,101.25,9.719999999999999,1
2023-02-26 12:00:00,Ahmedabad,35.88,1.42,7.5,0.0,101.13,10.880000000000003,1
2023-02-26 13:00:00,Ahmedabad,36.49,1.44,6.82,0.01,101.02,11.490000000000002,1
2023-02-26 14:00:00,Ahmedabad,36.56,1.51,6.47,0.02,100.91,11.560000000000002,1
2023-02-26 15:00:00,Ahmedabad,36.08,1.67,6.42,0.03,100.85,11.079999999999998,1
2023-02-26 16:00:00,Ahmedabad,34.89,1.8,6.74,0.04,100.83,9.89,1
2023-02-26 17:00:00,Ahmedabad,31.25,1.59,9.23,0.05,100.87,6.25,1
2023-02-26 18:00:00,Ahmedabad,28.39,2.06,10.43,0.06,100.93,3.3900000000000006,0
2023-02-26 19:00:00,Ahmedabad,26.71,2.4,11.42,0.08,101.01,1.7100000000000009,0
2023-02-26 20:00:00,Ahmedabad,25.1,2.66,12.72,0.09,101.08,0.10000000000000142,0
2023-02-26 21:00:00,Ahmedabad,23.52,2.89,14.43,0.1,101.1,0.0,0
2023-02-26 22:00:00,Ahmedabad,22.1,3.07,16.46,0.11,101.1,0.0,0
2023-02-26 23:00:00,Ahmedabad,20.88,3.21,18.65,0.12,101.09,0.0,0
2023-02-27 00:00:00,Ahmedabad,19.88,3.29,20.81,0.13,101.07,0.0,0
2023-02-27 01:00:00,Ahmedabad,19.07,3.32,22.62,0.14,101.04,0.0,0
2023-02-27 02:00:00,Ahmedabad,18.38,3.31,24.14,0.13,101.01,0.0,0
2023-02-27 03:00:00,Ahmedabad,17.78,3.27,25.22,0.12,100.97,0.0,0
2023-02-27 04:00:00,Ahmedabad,17.24,3.19,26.26,0.1,100.97,0.0,0
2023-02-27 05:00:00,Ahmedabad,16.69,3.06,27.2,0.09,101.01,0.0,0
2023-02-27 06:00:00,Ahmedabad,16.55,2.89,27.55,0.08,101.08,0.0,0
2023-02-27 07:00:00,Ahmedabad,20.44,3.48,21.94,0.07,101.15,0.0,0
2023-02-27 08:00:00,Ahmedabad,24.02,2.37,17.87,0.06,101.21,0.0,0
2023-02-27 09:00:00,Ahmedabad,28.95,2.21,13.29,0.04,101.24,3.9499999999999993,0
2023-02-27 10:00:00,Ahmedabad,33.56,1.99,9.85,0.03,101.22,8.560000000000002,1
2023-02-27 11:00:00,Ahmedabad,35.61,1.36,8.39,0.02,101.14,10.61,1
2023-02-27 12:00:00,Ahmedabad,36.67,1.26,7.57,0.01,101.02,11.670000000000002,1
2023-02-27 13:00:00,Ahmedabad,37.12,1.5,7.12,0.0,100.9,12.119999999999997,1
2023-02-27 14:00:00,Ahmedabad,37.06,1.86,6.93,0.0,100.8,12.060000000000002,1
2023-02-27 15:00:00,Ahmedabad,36.45,2.14,7.0,0.0,100.75,11.450000000000003,0
2023-02-27 16:00:00,Ahmedabad,35.23,2.23,7.4,0.01,100.73,10.229999999999997,0
2023-02-27 17:00:00,Ahmedabad,31.52,1.67,9.95,0.01,100.75,6.52,1
2023-02-27 18:00:00,Ahmedabad,29.06,1.76,11.22,0.01,100.79,4.059999999999999,1
2023-02-27 19:00:00,Ahmedabad,27.97,1.84,11.92,0.01,100.85,2.969999999999999,1
2023-02-27 20:00:00,Ahmedabad,26.83,2.06,12.88,0.02,100.91,1.8299999999999983,0
2023-02-27 21:00:00,Ahmedabad,25.38,2.36,14.29,0.02,100.93,0.379999999999999,0
2023-02-27 22:00:00,Ahmedabad,23.69,2.68,16.41,0.02,100.93,0.0,0
2023-02-27 23:00:00,Ahmedabad,22.19,2.91,18.7,0.02,100.91,0.0,0
2023-02-28 00:00:00,Ahmedabad,21.08,3.01,20.65,0.03,100.88,0.0,0
2023-02-28 01:00:00,Ahmedabad,20.21,3.0,21.92,0.02,100.84,0.0,0
2023-02-28 02:00:00,Ahmedabad,19.39,3.03,22.62,0.02,100.81,0.0,0
2023-02-28 03:00:00,Ahmedabad,18.57,3.12,23.66,0.03,100.81,0.0,0
2023-02-28 04:00:00,Ahmedabad,17.78,3.16,25.58,0.03,100.83,0.0,0
2023-02-28 05:00:00,Ahmedabad,17.0,3.11,28.97,0.03,100.89,0.0,0
2023-02-28 06:00:00,Ahmedabad,16.71,3.08,31.58,0.04,100.98,0.0,0
2023-02-28 07:00:00,Ahmedabad,20.08,3.78,26.48,0.04,101.07,0.0,0
2023-02-28 08:00:00,Ahmedabad,23.72,2.63,21.39,0.04,101.15,0.0,0
2023-02-28 09:00:00,Ahmedabad,28.86,1.86,14.98,0.04,101.18,3.8599999999999994,1
2023-02-28 10:00:00,Ahmedabad,34.06,0.3,10.24,0.05,101.16,9.060000000000002,1
2023-02-28 11:00:00,Ahmedabad,36.19,0.52,9.25,0.05,101.06,11.189999999999998,1
2023-02-28 12:00:00,Ahmedabad,37.13,0.87,9.01,0.05,100.94,12.130000000000003,1
2023-02-28 13:00:00,Ahmedabad,37.55,1.16,8.95,0.05,100.83,12.549999999999997,1
2023-02-28 14:00:00,Ahmedabad,37.44,1.28,9.04,0.05,100.73,12.439999999999998,1
2023-02-28 15:00:00,Ahmedabad,36.81,1.28,9.33,0.05,100.67,11.810000000000002,1
2023-02-28 16:00:00,Ahmedabad,35.65,1.27,9.94,0.04,100.68,10.649999999999999,1
2023-02-28 17:00:00,Ahmedabad,32.86,1.1,12.22,0.04,100.72,7.859999999999999,1
2023-02-28 18:00:00,Ahmedabad,30.62,1.21,13.52,0.03,100.78,5.620000000000001,1
2023-02-28 19:00:00,Ahmedabad,29.49,1.17,14.36,0.03,100.87,4.489999999999998,1
2023-02-28 20:00:00,Ahmedabad,28.58,1.15,15.23,0.03,100.94,3.5799999999999983,1
2023-02-28 21:00:00,Ahmedabad,27.49,1.12,16.32,0.02,100.97,2.4899999999999984,1
2023-02-28 22:00:00,Ahmedabad,26.44,0.99,17.59,0.02,100.96,1.4400000000000013,1
2023-02-28 23:00:00,Ahmedabad,25.77,0.8,18.78,0.01,100.93,0.7699999999999996,1
2023-03-01 00:00:00,Ahmedabad,24.87,0.6,20.73,0.01,100.9,0.0,1
2023-03-01 01:00:00,Ahmedabad,23.98,0.41,22.94,0.0,100.87,0.0,1
2023-03-01 02:00:00,Ahmedabad,22.8,0.55,25.39,0.0,100.85,0.0,1
